tdate,dis_name,positive_cases
2020-06-24,Satkhira,2
2020-06-24,Jamalpur,7
2020-06-24,Mymensingh,153
2020-06-24,Netrakona,11
2020-06-24,Sherpur,6
2020-06-24,Bogra,32
2020-06-24,Natore,1
2020-06-24,Pabna,6
2020-06-24,Rajshahi,2
2020-06-24,Sirajganj,6
2020-06-24,Dinajpur,11
2020-06-24,Kurigram,1
2020-06-24,Nilphamari,3
2020-06-24,Panchagarh,1
2020-06-24,Rangpur,1
2020-06-24,Thakurgaon,1
2020-06-24,Habiganj,32
2020-06-24,Maulvibazar,11
2020-06-24,Sunamganj,23
2020-06-24,Sylhet,113
2020-06-23,Barguna,9
2020-06-23,Barisal,12
2020-06-23,Bhola,2
2020-06-23,Jhalokati,17
2020-06-23,Patuakhali,12
2020-06-23,Pirojpur,11
2020-06-23,Bandarban,51
2020-06-23,Brahamanbaria,15
2020-06-23,Chandpur,48
2020-06-23,Chittagong,259
2020-06-23,Comilla,77
2020-06-23,Cox's Bazar,121
2020-06-23,Feni,43
2020-06-23,Lakshmipur,7
2020-06-23,Noakhali,39
2020-06-23,Rangamati,3
2020-06-23,Dhaka,927
2020-06-23,Faridpur,73
2020-06-23,Gazipur,64
2020-06-23,Gopalganj,20
2020-06-23,Kishoreganj,12
2020-06-23,Madaripur,5
2020-06-23,Manikganj,5
2020-06-23,Munshiganj,30
2020-06-23,Narayanganj,79
2020-06-23,Narsingdi,8
2020-06-23,Rajbari,20
2020-06-23,Shariatpur,21
2020-06-23,Tangail,19
2020-06-23,Bagerhat,30
2020-06-23,Chuadanga,5
2020-06-23,Jessore,26
2020-06-23,Jhenaidah,12
2020-06-23,Khulna,72
2020-06-23,Kushtia,70
2020-06-23,Magura,16
2020-06-23,Meherpur,4
2020-06-23,Narail,7
2020-06-23,Satkhira,6
2020-06-23,Jamalpur,5
2020-06-23,Mymensingh,53
2020-06-23,Netrakona,107
2020-06-23,Sherpur,3
2020-06-23,Bogra,62
2020-06-23,Joypurhat,1
2020-06-23,Naogaon,1
2020-06-23,Nawabganj,5
2020-06-23,Pabna,60
2020-06-23,Rajshahi,15
2020-06-23,Sirajganj,26
2020-06-23,Dinajpur,8
2020-06-23,Gaibandha,6
2020-06-23,Kurigram,2
2020-06-23,Lalmonirhat,2
2020-06-23,Nilphamari,2
2020-06-23,Panchagarh,1
2020-06-23,Rangpur,19
2020-06-23,Habiganj,27
2020-06-23,Maulvibazar,29
2020-06-23,Sunamganj,2
2020-06-23,Sylhet,103
2020-06-22,Barguna,1
2020-06-22,Barisal,53
2020-06-22,Bhola,3
2020-06-22,Jhalokati,2
2020-06-22,Patuakhali,11
2020-06-22,Pirojpur,10
2020-06-22,Bandarban,27
2020-06-22,Brahamanbaria,3
2020-06-22,Chandpur,35
2020-06-22,Chittagong,158
2020-06-22,Comilla,156
2020-06-22,Cox's Bazar,147
2020-06-22,Feni,2
2020-06-22,Khagrachhari,10
2020-06-22,Lakshmipur,4
2020-06-22,Noakhali,3
2020-06-22,Rangamati,16
2020-06-22,Dhaka,876
2020-06-22,Faridpur,67
2020-06-22,Gazipur,31
2020-06-22,Gopalganj,26
2020-06-22,Kishoreganj,8
2020-06-22,Madaripur,7
2020-06-22,Manikganj,6
2020-06-22,Munshiganj,6
2020-06-22,Narayanganj,38
2020-06-22,Narsingdi,22
2020-06-22,Rajbari,4
2020-06-22,Shariatpur,2
2020-06-22,Tangail,16
2020-06-22,Bagerhat,2
2020-06-22,Chuadanga,12
2020-06-22,Jessore,23
2020-06-22,Jhenaidah,8
2020-06-22,Khulna,58
2020-06-22,Kushtia,31
2020-06-22,Magura,8
2020-06-22,Meherpur,10
2020-06-22,Narail,7
2020-06-22,Satkhira,6
2020-06-22,Jamalpur,24
2020-06-22,Mymensingh,113
2020-06-22,Netrakona,7
2020-06-22,Sherpur,18
2020-06-22,Naogaon,2
2020-06-22,Natore,8
2020-06-22,Pabna,52
2020-06-22,Rajshahi,17
2020-06-22,Sirajganj,8
2020-06-22,Dinajpur,13
2020-06-22,Gaibandha,2
2020-06-22,Kurigram,3
2020-06-22,Lalmonirhat,4
2020-06-22,Nilphamari,8
2020-06-22,Panchagarh,4
2020-06-22,Rangpur,27
2020-06-22,Thakurgaon,2
2020-06-22,Habiganj,1
2020-06-22,Sunamganj,26
2020-06-22,Sylhet,46
2020-06-21,Barguna,1
2020-06-21,Barisal,94
2020-06-21,Bhola,1
2020-06-21,Jhalokati,27
2020-06-21,Patuakhali,9
2020-06-21,Pirojpur,8
2020-06-21,Bandarban,28
2020-06-21,Brahamanbaria,22
2020-06-21,Chandpur,43
2020-06-21,Chittagong,625
2020-06-21,Comilla,350
2020-06-21,Cox's Bazar,153
2020-06-21,Feni,18
2020-06-21,Khagrachhari,58
2020-06-21,Lakshmipur,10
2020-06-21,Noakhali,10
2020-06-21,Rangamati,72
2020-06-21,Dhaka,1305
2020-06-21,Faridpur,51
2020-06-21,Gazipur,89
2020-06-21,Gopalganj,32
2020-06-21,Kishoreganj,29
2020-06-21,Madaripur,7
2020-06-21,Manikganj,18
2020-06-21,Munshiganj,40
2020-06-21,Narayanganj,101
2020-06-21,Narsingdi,14
2020-06-21,Rajbari,5
2020-06-21,Shariatpur,3
2020-06-21,Tangail,19
2020-06-21,Bagerhat,15
2020-06-21,Chuadanga,11
